date,open,high,low,close,volume,barCount,average
20200915  15:30:00,9.4,9.65,8.7,9.1,-1,-1,-1.0
20200915  15:31:00,9.1,9.2,9.1,9.2,-1,-1,-1.0
20200915  15:32:00,9.2,9.2,9.2,9.2,-1,-1,-1.0
20200915  15:33:00,9.2,9.2,9.2,9.2,-1,-1,-1.0
20200915  15:34:00,9.2,9.2,9.2,9.2,-1,-1,-1.0
20200915  15:35:00,9.2,9.25,9.2,9.25,-1,-1,-1.0
20200915  15:36:00,9.25,9.35,9.25,9.35,-1,-1,-1.0
20200915  15:37:00,9.35,9.9,9.35,9.45,-1,-1,-1.0
20200915  15:38:00,9.45,9.45,9.45,9.45,-1,-1,-1.0
20200915  15:39:00,9.45,9.5,9.45,9.5,-1,-1,-1.0
20200915  15:40:00,9.5,9.5,9.5,9.5,-1,-1,-1.0
20200915  15:41:00,9.5,9.5,9.5,9.5,-1,-1,-1.0
20200915  15:42:00,9.5,9.55,9.5,9.55,-1,-1,-1.0
20200915  15:43:00,9.55,11.05,9.55,10.5,-1,-1,-1.0
20200915  15:44:00,10.5,10.5,10.45,10.45,-1,-1,-1.0
20200915  15:45:00,10.45,10.7,10.45,10.7,-1,-1,-1.0
20200915  15:46:00,10.7,10.7,10.7,10.7,-1,-1,-1.0
20200915  15:47:00,10.7,10.9,10.7,10.85,-1,-1,-1.0
20200915  15:48:00,10.85,10.85,10.85,10.85,-1,-1,-1.0
20200915  15:49:00,10.85,10.85,10.85,10.85,-1,-1,-1.0
20200915  15:50:00,10.85,10.9,10.85,10.85,-1,-1,-1.0
20200915  15:51:00,10.85,10.85,10.85,10.85,-1,-1,-1.0
20200915  15:52:00,10.85,10.85,10.8,10.8,-1,-1,-1.0
20200915  15:53:00,10.8,10.85,10.8,10.8,-1,-1,-1.0
20200915  15:54:00,10.8,10.8,10.8,10.8,-1,-1,-1.0
20200915  15:55:00,10.8,10.8,10.8,10.8,-1,-1,-1.0
20200915  15:56:00,10.8,10.85,10.8,10.8,-1,-1,-1.0
20200915  15:57:00,10.8,10.8,10.8,10.8,-1,-1,-1.0
20200915  15:58:00,10.8,10.8,10.8,10.8,-1,-1,-1.0
20200915  15:59:00,10.8,10.85,10.8,10.8,-1,-1,-1.0
20200915  16:00:00,10.8,10.8,10.75,10.75,-1,-1,-1.0
