date,open,high,low,close,volume,barCount,average
20200728  13:00:00,132.5,138.495,132.5,135.245,-1,-1,-1.0
20200728  13:01:00,135.245,135.25,135.245,135.25,-1,-1,-1.0
20200728  13:02:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:03:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:04:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:05:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:06:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:07:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:08:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:09:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:10:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:11:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:12:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:13:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:14:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:15:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:16:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:17:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:18:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:19:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:20:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:21:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:22:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:23:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:24:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:25:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:26:00,135.25,135.25,135.245,135.25,-1,-1,-1.0
20200728  13:27:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:28:00,135.25,135.25,135.245,135.25,-1,-1,-1.0
20200728  13:29:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:30:00,135.25,135.25,135.245,135.25,-1,-1,-1.0
20200728  13:31:00,135.25,135.25,135.245,135.25,-1,-1,-1.0
20200728  13:32:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:33:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:34:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:35:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:36:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:37:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:38:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:39:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:40:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:41:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:42:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:43:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:44:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:45:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:46:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:47:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:48:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:49:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:50:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:51:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:52:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:53:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:54:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:55:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:56:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:57:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:58:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  13:59:00,135.25,135.25,135.245,135.25,-1,-1,-1.0
20200728  14:00:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  14:01:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  14:02:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  14:03:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  14:04:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  14:05:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  14:06:00,135.25,135.25,135.245,135.25,-1,-1,-1.0
20200728  14:07:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
20200728  14:08:00,135.25,135.25,135.25,135.25,-1,-1,-1.0
